record_id,redcap_survey_identifier,arwen_experiment_timestamp,consent_form,group,gender_identity,sc_strong1,sc_weak1,timer1,timer2,time_dif,whole_video,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,dases_ave,scsr_ave
2,,2/23/26 16:44,1,2,B,"Depends on what you consider temptations. I routinely keep myself from playing my video games, reading, or other things that I want to do in order to do homework, tho I often times reward myself with those things for doing the work I needed to get done. ",,4:40:48 PM,4:42:37 PM,109,1,6,3,2,4,5,6,7,4,3,4,4,4,4.625,3.75
5,,2/23/26 16:41,1,1,B,,"I get ready for the day, make coffee, head to class, usually have a lunch break, head back to class. When i'm done with class for the day I do homework, make dinner, shower, watch tv and go to bed. ",4:40:10 PM,4:40:20 PM,10,1,6,3,4,1,4,7,2,5,4,4,4,5,4,4.25
6,,2/23/26 16:53,1,2,A,"As a college student, my friends would frequently ask me to go out with them to party and what not. I would consistently decline for moral and ethical reasons. Morally I would decline because I choose not to drink for religious reasons, and at the time I was underage so it would have been morally wrong to do so. Ethically, I choose not to go out because I would have been with the people I was providing care for as a student. ",,4:49:52 PM,4:51:18 PM,86,1,7,6,6,2,7,7,1,2,4,4,4,4,4.75,4
8,,2/23/26 16:57,1,2,A,I resist temptation everyday. ,,4:53:29 PM,4:54:09 PM,40,1,4,3,2,2,2,4,7,7,5,5,5,5,3.875,5
10,,2/23/26 17:13,1,2,B,Currently I'm resisting temptation to smoke. I had been trying to quit vaping and smoking for the past 6 months and I'm now off of both. It's very hard to keep at it and not give in when your friends and people around you do it. It's also very normalized in society now which makes it even harder. ,,5:08:52 PM,5:11:01 PM,129,1,2,5,4,4,3,5,4,6,3,3,3,4,4.125,3.25
11,,2/23/26 17:29,1,1,B,,"I rise by five, go right to work. Work is followed by school which is followed by food. Mostly food is cooked by me. Sometimes by my brother. For joy, I either do sport or write story. I view TV show, pick out clothes for tomorrow. ",5:25:14 PM,5:27:02 PM,108,1,2,4,6,1,6,7,3,7,4,3,2,5,4.5,3.5
12,,2/23/26 17:25,1,2,B,"There have been many times within my family I have resisted the temptation to let resentment take over. One such time was when my brother was degrading me over my intervention with him abusing our dog. While I wanted so deeply to say all the most vile things I could think of that I knew would hurt him as deeply as he was me, I did not. I attribute that resistance to the Holy Spirit (I am a Christian). ",,5:20:24 PM,5:22:38 PM,134,1,7,5,5,1,6,7,1,7,4,4,3,5,4.875,4
13,,2/23/26 17:26,1,1,B,,Rise out of bed. shower. Clothes over body. Food to tummy. teeth brushed. Shoes to feet. Go to work till off work. Home. Shower. Food. Care for epidermis. Brush teeth. Sleep. ,5:24:14 PM,5:24:50 PM,36,1,3,2,7,1,7,7,1,5,3,3,2,4,4.125,3
17,,2/23/26 17:41,1,1,A,,I go to school before I go home to complete my school work. To proceed the previous words I chill out with some hobbies. This is time I try to view TV shows before I go to bed. This is typical for me,5:39:00 PM,5:39:18 PM,18,0,5,7,3,6,6,2,1,7,4,4,3,4,4.625,3.75
25,,2/23/26 18:26,1,1,B,,"I wake up at 5 am get ready for work, go to work 5:45 am. I then arrive at work at 6:45 and work until around 5:30. I then come home to shower, cook dinner and clean up. If time allows I will watch TV or read a book. ",6:21:39 PM,6:23:51 PM,132,1,5,2,7,2,7,7,1,2,4,5,3,4,4.125,4
26,,2/23/26 18:58,1,2,A,In highschool my friends and I would would part a lot. I enjoyed this but every now and again would be the DD so that people could get home safely. One night in particular I was the DD but my friends still wanted me to drink. However I knew this wasn't smart as I needed to drive so I didn't participate.,,6:53:50 PM,6:55:56 PM,126,1,4,5,5,2,5,3,5,5,4,4,5,5,4.25,4.5
27,,2/23/26 19:41,1,1,A,,"As I wake up, I brush my teeth and wash my face. Then I get into the stock markets and do my day trading for a couples hours. After that I go to the gym and grab food. Following that I will go into work and go home. Then I shower and brush my teeth and wash my face and go to sleep.",7:38:13 PM,7:38:18 PM,5,0,7,1,7,1,7,7,1,1,4,3,2,5,4,3.5
28,,2/23/26 19:52,1,2,B,"Resisting temptation, I guess today going to Charlotte and purposely leaving my vape at the house while I drive to pick up my girls from school one is in high school and the other ones in elementary school from their going to pick up a dress that is an hour and more from the house and then stopping to get gas and stopping to get dinner and then driving an hour back home knowing that I was gonna be out for a while without my vape so I don't vape too much. That's one thing that I resist today another thing that I resist I feel like on a daily being a server and being around so many different types of people all day there's a lot of good looking people that try to grab my attention, but I am in a relationship so I resist the urge of lost and say that the person I'm with is someone I love and want forever with also today eating healthy, a well balanced diet three meals a day without having sweets or precious food",,7:47:42 PM,7:49:43 PM,121,1,7,4,5,3,6,7,1,5,3,5,3,3,4.75,3.5
29,,2/23/26 20:41,1,1,C,,"I wake up, check my phone for any messages or updates about anything then get up to make my bed.I find my outfit for the day, take a shower ,put on my clothes,brush my teeth, fix up my hair then go to work for the rest of the day.When I get off work I go to whatever fast food place im feeling at that moment til im ready to go back home. When I get home I wind down by putting on some music,changing into some pjs, then going to sleep.",8:38:11 PM,8:38:49 PM,38,1,3,7,7,1,7,7,1,7,3,3,2,5,5,3.25
31,,2/23/26 20:43,1,1,B,,I get up out of bed. I get dressed. I get food from the dorm room shelf. I go to school.,8:42:01 PM,8:42:04 PM,3,0,7,1,7,1,7,7,1,1,3,5,3,5,4,4
35,,2/23/26 21:57,1,1,B,,"Coffee, possible shower, food, work, couch, sleep ",9:53:03 PM,9:55:04 PM,121,1,6,3,5,2,7,7,1,3,4,5,4,5,4.25,4.5
36,,2/23/26 22:28,1,2,A,I once wanted to smoke some reefer with my homies. I chose not too because of my beliefs at the time and feelings I had towards my body being a temple. They keep going and going and it took everything in me to say no. I don't know how I truly stopped myself for so long but I did.,,10:25:42 PM,10:25:46 PM,4,0,7,7,3,7,4,4,1,7,4,3,4,4,5,3.75
40,,2/24/26 12:32,1,2,C,Every day ! I'm a year and 3 months clean from my drug addiction! ,,12:30:05 PM,12:30:08 PM,3,1,5,2,7,2,7,7,2,2,4,3,3,3,4.25,3.25
41,,2/24/26 12:52,1,1,C,,"I get up, go to school, get food,  go to work, sleep",12:49:02 PM,12:49:05 PM,3,0,3,5,7,4,5,2,1,3,4,4,4,5,3.75,4.25
44,,2/24/26 19:30,1,2,A,There was a time that I was out late night and all my we're doing stuff and they asked me and at first I thought about it but then I started thinking about the consequences of do those things so I said no because I was afraid that I would get hooked on it so I told myself no ,,7:25:16 PM,7:25:38 PM,22,1,4,4,1,5,4,6,1,5,3,5,3,5,3.75,4
45,,2/26/26 12:26,1,1,A,,"I will rise out of bed, go to my workouts, drive to my room to shower. Following this, I go to my studies, do homework if required, go to grub, possibly chill out by smoking with buddies, see my gorgeous wife, view netflix, more food, slumber like the king.",12:21:50 PM,12:24:20 PM,150,1,3,4,5,3,2,5,3,6,4,3,3,4,3.875,3.5
